Cost 308
Edges 308
E 1001 18
E 18 1007
E 1007 22
E 22 1114
E 1114 114
E 114 1133
E 22 1164
E 18 1052
E 18 1057
E 1057 45
E 45 1074
E 45 1082
E 45 1098
E 1098 120
E 120 1126
E 45 1149
E 18 1128
E 18 1132
E 1132 38
E 38 1145
E 1001 113
E 113 1015
E 1015 12
E 12 1028
E 1028 7
E 7 1097
E 7 1141
E 1028 101
E 101 1115
E 101 1165
E 12 1095
E 113 1104
E 1001 587
E 587 1003
E 1003 220
E 220 1031
E 1031 6
E 6 1111
E 6 1113
E 6 1174
E 1031 11
E 11 1102
E 11 1137
E 11 1142
E 1031 372
E 372 1033
E 1003 273
E 273 1026
E 1026 23
E 23 1138
E 23 1179
E 23 1190
E 1026 46
E 46 1073
E 1073 49
E 49 1194
E 1026 63
E 63 1059
E 63 1065
E 1065 14
E 14 1072
E 63 1069
E 63 1151
E 1003 294
E 294 1009
E 1009 21
E 21 1023
E 294 1199
E 1001 844
E 844 1002
E 1002 10
E 10 1120
E 10 1150
E 1002 17
E 17 1004
E 1004 28
E 28 1051
E 17 1005
E 1005 70
E 70 1038
E 1038 132
E 132 1099
E 70 1056
E 1056 9
E 9 1180
E 1056 84
E 84 1067
E 1067 66
E 66 1068
E 1068 5
E 5 1090
E 5 1157
E 1157 27
E 27 1200
E 5 1185
E 66 1155
E 70 1135
E 1005 104
E 104 1020
E 1020 61
E 61 1160
E 61 1175
E 104 1108
E 1108 88
E 88 1122
E 1005 163
E 163 1012
E 1012 19
E 19 1036
E 19 1046
E 1046 262
E 262 1060
E 19 1146
E 19 1148
E 19 1184
E 1012 207
E 207 1024
E 1024 31
E 31 1044
E 1044 58
E 58 1083
E 58 1089
E 58 1129
E 58 1130
E 1130 53
E 53 1154
E 58 1153
E 31 1071
E 31 1152
E 1024 76
E 76 1050
E 76 1196
E 163 1013
E 17 1075
E 17 1105
E 17 1192
E 17 1197
E 1002 59
E 59 1016
E 1016 65
E 65 1178
E 1016 145
E 145 1027
E 1016 339
E 339 1034
E 59 1049
E 1049 24
E 24 1087
E 1049 97
E 97 1077
E 1049 362
E 362 1063
E 59 1053
E 59 1136
E 1002 254
E 254 1006
E 1006 234
E 234 1021
E 1021 73
E 73 1070
E 1070 4
E 4 1125
E 4 1156
E 1070 87
E 87 1119
E 73 1092
E 1021 136
E 136 1042
E 136 1043
E 1043 82
E 82 1116
E 1116 44
E 44 1124
E 44 1161
E 44 1183
E 1002 355
E 355 1025
E 1025 47
E 47 1058
E 1058 1
E 1 1078
E 1 1101
E 1 1103
E 1103 8
E 8 1167
E 8 1198
E 1 1187
E 1 1188
E 1058 176
E 176 1112
E 47 1117
E 47 1147
E 1025 108
E 108 1032
E 1032 40
E 40 1100
E 1032 67
E 67 1085
E 67 1143
E 1032 79
E 79 1107
E 1107 35
E 35 1140
E 79 1171
E 108 1041
E 1041 26
E 26 1173
E 1002 444
E 444 1008
E 1008 29
E 29 1017
E 1017 30
E 30 1019
E 1019 64
E 64 1081
E 1019 256
E 256 1086
E 30 1045
E 1045 32
E 32 1093
E 32 1118
E 32 1127
E 1045 92
E 92 1169
E 30 1054
E 29 1035
E 1035 50
E 50 1066
E 1066 52
E 52 1144
E 1144 13
E 13 1193
E 50 1131
E 29 1039
E 1039 15
E 15 1163
E 1039 156
E 156 1168
E 29 1110
E 1110 51
E 51 1139
E 1008 112
E 112 1080
E 1008 343
E 343 1010
E 1010 103
E 103 1011
E 1011 34
E 34 1030
E 1030 20
E 20 1040
E 1040 71
E 71 1172
E 1040 160
E 160 1079
E 20 1061
E 20 1159
E 20 1170
E 20 1195
E 34 1062
E 1062 60
E 60 1064
E 1064 37
E 37 1181
E 60 1186
E 1062 83
E 83 1094
E 1011 54
E 54 1055
E 1011 69
E 69 1096
E 69 1134
E 1011 568
E 568 1014
E 1014 48
E 48 1047
E 1047 2
E 2 1088
E 2 1121
E 2 1176
E 1176 36
E 36 1189
E 2 1191
E 48 1123
E 1123 25
E 25 1158
E 25 1166
E 103 1018
E 1018 62
E 62 1109
E 62 1182
E 1018 77
E 77 1076
E 77 1091
E 1018 306
E 306 1029
E 1029 209
E 209 1037
E 1037 43
E 43 1084
E 43 1106
E 1037 131
E 131 1177
E 444 1022
E 1022 253
E 253 1048
E 1048 3
E 3 1162
