Cost 36771
Edges 364
E 1001 22
E 22 1188
E 1188 186
E 186 1088
E 1088 101
E 101 1162
E 101 1181
E 1088 324
E 324 1006
E 1006 893
E 893 1010
E 1010 291
E 291 1147
E 291 1155
E 1010 352
E 352 1149
E 1149 997
E 997 1170
E 1010 729
E 729 1021
E 729 1101
E 1088 509
E 509 1020
E 1020 420
E 420 1191
E 1191 295
E 295 1063
E 1020 602
E 602 1052
E 1088 745
E 745 1076
E 1076 7
E 7 1056
E 1056 416
E 416 1068
E 1068 67
E 67 1109
E 1109 646
E 646 1031
E 646 1112
E 1068 451
E 451 1087
E 1068 579
E 579 1107
E 1107 87
E 87 1174
E 416 1145
E 1056 607
E 607 1014
E 1014 630
E 630 1128
E 1014 711
E 711 1102
E 607 1161
E 1056 616
E 616 1013
E 1013 163
E 163 1065
E 1065 61
E 61 1096
E 61 1113
E 1065 565
E 565 1141
E 163 1185
E 1013 693
E 693 1033
E 1033 321
E 321 1019
E 1019 318
E 318 1108
E 1019 338
E 338 1130
E 1130 281
E 281 1120
E 1120 96
E 96 1154
E 1019 716
E 716 1041
E 1041 325
E 325 1177
E 321 1050
E 1050 92
E 92 1077
E 1077 105
E 105 1111
E 1077 328
E 328 1049
E 1077 376
E 376 1137
E 1050 218
E 218 1066
E 1066 56
E 56 1180
E 218 1126
E 218 1167
E 218 1169
E 1050 463
E 463 1057
E 1050 724
E 724 1055
E 1055 852
E 852 1015
E 1015 322
E 322 1044
E 1044 4
E 4 1067
E 1067 211
E 211 1171
E 1044 527
E 527 1072
E 1015 349
E 349 1097
E 1097 310
E 310 1007
E 1015 562
E 562 1022
E 1022 149
E 149 1118
E 1022 461
E 461 1008
E 1008 609
E 609 1009
E 1009 154
E 154 1184
E 154 1198
E 1009 266
E 266 1142
E 1009 592
E 592 1060
E 1022 946
E 946 1081
E 1050 779
E 779 1047
E 1047 561
E 561 1035
E 1047 767
E 767 1100
E 1100 103
E 103 1156
E 1100 403
E 403 1165
E 1050 922
E 922 1004
E 1004 446
E 446 1092
E 1092 147
E 147 1138
E 147 1151
E 1092 627
E 627 1054
E 1092 701
E 701 1018
E 1004 545
E 545 1064
E 1064 867
E 867 1078
E 1078 748
E 748 1083
E 1083 38
E 38 1116
E 1116 477
E 477 1119
E 1083 546
E 546 1027
E 1027 320
E 320 1178
E 1027 629
E 629 1059
E 1027 836
E 836 1040
E 1040 158
E 158 1123
E 1123 27
E 27 1158
E 1040 278
E 278 1024
E 836 1069
E 1069 269
E 269 1026
E 1026 389
E 389 1190
E 1069 661
E 661 1134
E 1069 744
E 744 1080
E 1080 307
E 307 1175
E 1080 426
E 426 1099
E 546 1058
E 1058 33
E 33 1093
E 1093 368
E 368 1157
E 1093 457
E 457 1036
E 1036 254
E 254 1193
E 1093 987
E 987 1164
E 1058 49
E 49 1117
E 1058 150
E 150 1073
E 1073 382
E 382 1091
E 1091 43
E 43 1095
E 1095 365
E 365 1098
E 365 1183
E 1095 872
E 872 1144
E 43 1131
E 1131 249
E 249 1125
E 1125 256
E 256 1197
E 1131 396
E 396 1179
E 43 1187
E 1004 621
E 621 1124
E 1013 722
E 722 1003
E 1003 792
E 792 1048
E 1048 2
E 2 1017
E 2 1163
E 1048 958
E 958 1030
E 1030 235
E 235 1043
E 1043 488
E 488 1034
E 1043 793
E 793 1071
E 235 1127
E 958 1114
E 1114 86
E 86 1146
E 1114 142
E 142 1122
E 1114 326
E 326 1115
E 326 1133
E 1133 976
E 976 1104
E 1104 756
E 756 1025
E 1025 448
E 448 1200
E 1003 945
E 945 1002
E 1013 862
E 862 1139
E 1139 264
E 264 1153
E 1153 286
E 286 1005
E 1013 817
E 817 1086
E 616 1085
E 1085 66
E 66 1172
E 66 1186
E 1186 698
E 698 1084
E 1056 707
E 707 1042
E 1042 224
E 224 1038
E 1038 37
E 37 1135
E 1038 686
E 686 1106
E 1038 702
E 702 1061
E 1061 495
E 495 1199
E 1038 728
E 728 1028
E 1028 361
E 361 1182
E 1028 424
E 424 1075
E 728 1046
E 224 1062
E 1062 399
E 399 1051
E 1051 272
E 272 1090
E 1062 659
E 659 1082
E 1062 708
E 708 1016
E 1016 243
E 243 1012
E 1012 480
E 480 1029
E 1029 54
E 54 1143
E 1029 610
E 610 1079
E 1029 634
E 634 1023
E 1023 173
E 173 1150
E 634 1037
E 1037 148
E 148 1105
E 148 1148
E 1148 125
E 125 1176
E 1148 194
E 194 1159
E 1037 288
E 288 1160
E 288 1196
E 1037 538
E 538 1039
E 1012 873
E 873 1121
E 1121 260
E 260 1011
E 1012 435
E 435 1045
E 1045 978
E 978 1074
E 1016 479
E 479 1053
E 1042 719
E 719 1032
E 1032 155
E 155 1132
E 1032 605
E 605 1094
E 1094 157
E 157 1103
E 605 1129
E 1129 40
E 40 1140
E 1032 703
E 703 1110
E 1110 519
E 519 1166
E 1166 794
E 794 1173
E 719 1195
E 7 1189
E 1076 50
E 50 1194
E 1076 529
E 529 1192
E 1076 807
E 807 1089
E 745 1136
E 1136 870
E 870 1070
E 1070 649
E 649 1168
E 1001 168
E 168 1152
