Cost 56993
Edges 564
E 3001 63
E 63 3097
E 3097 171
E 171 3011
E 3011 793
E 793 3026
E 3026 124
E 124 3155
E 3026 1447
E 1447 3129
E 3129 93
E 93 3143
E 3143 76
E 76 3003
E 3003 1535
E 1535 3161
E 3143 489
E 489 3005
E 3143 659
E 659 3253
E 659 3265
E 3265 462
E 462 3275
E 3265 1042
E 1042 3217
E 3265 2882
E 2882 3044
E 3143 2767
E 2767 3266
E 3129 1948
E 1948 3199
E 3026 1985
E 1985 3059
E 3059 868
E 868 3148
E 3059 929
E 929 3053
E 3059 1210
E 1210 3079
E 3079 186
E 186 3047
E 3047 417
E 417 3193
E 3047 1179
E 1179 3131
E 3131 362
E 362 3085
E 3085 235
E 235 3023
E 235 3260
E 3085 1254
E 1254 3109
E 3109 1580
E 1580 3283
E 3047 1757
E 1757 3019
E 3019 1244
E 1244 3024
E 3024 2132
E 2132 3037
E 3037 2112
E 2112 3018
E 3018 58
E 58 3073
E 3018 486
E 486 3068
E 3068 895
E 895 3174
E 3174 2192
E 2192 3286
E 3174 2254
E 2254 3191
E 3191 692
E 692 3261
E 3261 1423
E 1423 3070
E 3068 1157
E 1157 3033
E 3033 5
E 5 3083
E 3083 680
E 680 3180
E 3180 621
E 621 3105
E 3105 622
E 622 3038
E 3038 1324
E 1324 3192
E 3192 708
E 708 3190
E 3192 1262
E 1262 3032
E 3032 1129
E 1129 3046
E 3038 2391
E 2391 3130
E 3105 998
E 998 3291
E 3033 251
E 251 3234
E 3234 1609
E 1609 3156
E 251 3104
E 3033 1144
E 1144 3084
E 3084 1742
E 1742 3128
E 3128 2032
E 2032 3122
E 3122 1293
E 1293 3056
E 3056 334
E 334 3226
E 3226 2860
E 2860 3063
E 3063 1830
E 1830 3223
E 3223 2500
E 2500 3297
E 3063 2158
E 2158 3049
E 3063 2462
E 2462 3276
E 3056 593
E 593 3181
E 3181 1184
E 1184 3036
E 1293 3138
E 3138 2571
E 2571 3087
E 3087 1971
E 1971 3172
E 3172 2423
E 2423 3069
E 3069 1304
E 1304 3171
E 3171 882
E 882 3212
E 3122 2900
E 2900 3045
E 3128 2596
E 2596 3088
E 3088 1
E 1 3149
E 3149 2324
E 2324 3010
E 3010 589
E 589 3176
E 3176 1096
E 1096 3007
E 3007 795
E 795 3021
E 3021 1362
E 1362 3270
E 2324 3081
E 3081 938
E 938 3006
E 938 3189
E 1 3158
E 3088 1036
E 1036 3160
E 3088 1516
E 1516 3043
E 3043 162
E 162 3064
E 3064 678
E 678 3150
E 678 3259
E 678 3290
E 3064 1870
E 1870 3163
E 3043 693
E 693 3196
E 693 3278
E 3043 874
E 874 3282
E 3088 2360
E 2360 3154
E 3154 208
E 208 3187
E 3154 293
E 293 3014
E 3154 1072
E 1072 3025
E 3025 899
E 899 3195
E 3195 781
E 781 3279
E 3154 2611
E 2611 3060
E 3060 741
E 741 3002
E 3002 301
E 301 3200
E 3200 832
E 832 3248
E 3248 226
E 226 3169
E 3169 2704
E 2704 3272
E 3248 1846
E 1846 3015
E 3015 1775
E 1775 3164
E 3164 1353
E 1353 3029
E 3164 1610
E 1610 3139
E 3164 1905
E 1905 3241
E 3002 1898
E 1898 3062
E 3062 327
E 327 3185
E 3062 1094
E 1094 3274
E 3274 1550
E 1550 3218
E 3274 2791
E 2791 3071
E 3071 1190
E 1190 3198
E 3060 2358
E 2358 3273
E 3060 2464
E 2464 3041
E 3041 1231
E 1231 3300
E 3041 2553
E 2553 3220
E 3128 42
E 42 3245
E 3245 1747
E 1747 3229
E 1144 3205
E 3033 2956
E 2956 3118
E 3118 163
E 163 3157
E 3157 43
E 43 3215
E 3068 1990
E 1990 3057
E 486 3256
E 3018 913
E 913 3233
E 3233 2105
E 2105 3289
E 3018 1090
E 1090 3080
E 3080 1355
E 1355 3093
E 3093 1773
E 1773 3039
E 3093 51
E 51 3140
E 3080 1857
E 1857 3052
E 3052 1685
E 1685 3137
E 3052 942
E 942 3124
E 942 3152
E 3080 1939
E 1939 3009
E 3009 1118
E 1118 3125
E 3125 1266
E 1266 3108
E 3108 755
E 755 3216
E 3108 1127
E 1127 3110
E 3108 1651
E 1651 3194
E 3194 386
E 386 3100
E 3194 563
E 563 3246
E 3194 857
E 857 3197
E 3108 2428
E 2428 3127
E 3127 543
E 543 3235
E 3235 2855
E 2855 3295
E 3127 1638
E 1638 3151
E 3108 2568
E 2568 3136
E 3136 89
E 89 3089
E 3089 1357
E 1357 3219
E 89 3207
E 3108 2933
E 2933 3072
E 3072 440
E 440 3075
E 3075 2373
E 2373 3040
E 3040 1352
E 1352 3167
E 440 3240
E 3072 990
E 990 3252
E 3252 2839
E 2839 3175
E 3175 240
E 240 3242
E 3242 34
E 34 3147
E 3147 2303
E 2303 3183
E 3175 528
E 528 3013
E 3013 870
E 870 3113
E 3113 2554
E 2554 3111
E 3111 2836
E 2836 3095
E 3095 1533
E 1533 3204
E 3080 1977
E 1977 3254
E 3254 588
E 588 3065
E 3019 2325
E 2325 3055
E 3055 88
E 88 3096
E 3096 173
E 173 3210
E 3210 986
E 986 3281
E 3096 1741
E 1741 3076
E 3076 758
E 758 3103
E 3103 1709
E 1709 3058
E 3058 120
E 120 3263
E 3263 2
E 2 3267
E 3263 867
E 867 3031
E 3058 1469
E 1469 3017
E 758 3247
E 3076 1748
E 1748 3054
E 3054 1568
E 1568 3179
E 3179 676
E 676 3238
E 676 3243
E 3179 1001
E 1001 3170
E 3170 1578
E 1578 3251
E 3251 388
E 388 3294
E 3294 203
E 203 3133
E 3251 2902
E 2902 3202
E 3202 1237
E 1237 3126
E 3126 345
E 345 3135
E 3054 2701
E 2701 3051
E 3051 187
E 187 3298
E 3051 618
E 618 3035
E 3035 829
E 829 3145
E 3035 2347
E 2347 3117
E 3117 1071
E 1071 3116
E 3117 1587
E 1587 3050
E 3050 229
E 229 3114
E 229 3120
E 3120 1649
E 1649 3208
E 3050 2174
E 2174 3106
E 3106 2842
E 2842 3177
E 3177 476
E 476 3141
E 3141 1120
E 1120 3228
E 3177 1864
E 1864 3090
E 1864 3250
E 2174 3222
E 1587 3258
E 3117 1785
E 1785 3092
E 3092 661
E 661 3121
E 3092 2196
E 2196 3203
E 1748 3077
E 3076 2253
E 2253 3048
E 3096 1980
E 1980 3012
E 3012 260
E 260 3115
E 3115 361
E 361 3134
E 3134 2826
E 2826 3239
E 3115 2305
E 2305 3244
E 3115 629
E 629 3142
E 3012 813
E 813 3082
E 3082 1128
E 1128 3230
E 88 3255
E 3255 545
E 545 3016
E 3255 2436
E 2436 3008
E 3008 2015
E 2015 3249
E 3008 2400
E 2400 3119
E 3055 429
E 429 3184
E 3184 1381
E 1381 3262
E 3055 471
E 471 3159
E 3159 1973
E 1973 3028
E 3028 1532
E 1532 3186
E 3186 66
E 66 3034
E 3019 2896
E 2896 3066
E 3066 2979
E 2979 3112
E 186 3182
E 3182 1298
E 1298 3227
E 3079 619
E 619 3144
E 619 3236
E 3079 1010
E 1010 3231
E 3059 1301
E 1301 3271
E 3059 802
E 802 3098
E 3011 1756
E 1756 3074
E 3074 1387
E 1387 3101
E 3101 564
E 564 3078
E 3078 547
E 547 3214
E 3078 1263
E 1263 3004
E 3078 2887
E 2887 3094
E 3094 2317
E 2317 3221
E 3094 2463
E 2463 3020
E 3101 2273
E 2273 3091
E 2273 3153
E 3153 136
E 136 3178
E 3153 1512
E 1512 3027
E 3027 1267
E 1267 3165
E 3165 469
E 469 3293
E 3293 2284
E 2284 3280
E 3165 1719
E 1719 3188
E 3165 1834
E 1834 3296
E 1512 3206
E 3206 1868
E 1868 3288
E 3153 2730
E 2730 3201
E 2273 3168
E 3011 1928
E 1928 3030
E 3030 550
E 550 3123
E 550 3287
E 3030 2179
E 2179 3132
E 3132 1772
E 1772 3173
E 3173 1074
E 1074 3209
E 3097 1755
E 1755 3102
E 3102 584
E 584 3225
E 3225 1730
E 1730 3224
E 3224 11
E 11 3257
E 3257 1726
E 1726 3213
E 3097 2741
E 2741 3067
E 63 3146
E 3146 363
E 363 3166
E 363 3022
E 3146 875
E 875 3268
E 875 3269
E 3146 1645
E 1645 3042
E 3042 574
E 574 3086
E 3042 1274
E 1274 3232
E 3232 1187
E 1187 3299
E 3146 1975
E 1975 3099
E 3099 2926
E 2926 3061
E 1975 3107
E 63 3162
E 3162 337
E 337 3237
E 3237 90
E 90 3264
E 3264 466
E 466 3277
E 3277 1859
E 1859 3211
E 3277 2841
E 2841 3285
E 3285 446
E 446 3284
E 3264 468
E 468 3292
