Cost 433
Edges 433
E 3001 63
E 63 3011
E 3011 12
E 12 3038
E 12 3126
E 12 3152
E 12 3272
E 3011 29
E 29 3016
E 3016 30
E 30 3024
E 3024 146
E 146 3030
E 3030 46
E 46 3066
E 3066 93
E 93 3129
E 3066 113
E 113 3145
E 46 3155
E 3030 78
E 78 3122
E 78 3167
E 78 3240
E 30 3078
E 30 3134
E 30 3204
E 3016 40
E 40 3168
E 40 3248
E 3016 58
E 58 3018
E 3018 60
E 60 3102
E 60 3196
E 60 3200
E 60 3207
E 60 3280
E 3018 302
E 302 3063
E 58 3023
E 3023 7
E 7 3025
E 3025 80
E 80 3298
E 7 3035
E 3035 77
E 77 3091
E 77 3112
E 7 3069
E 7 3077
E 3077 121
E 121 3165
E 7 3211
E 3023 83
E 83 3031
E 3031 23
E 23 3099
E 23 3103
E 23 3108
E 23 3116
E 23 3150
E 23 3191
E 23 3260
E 3023 97
E 97 3222
E 58 3075
E 3075 61
E 61 3136
E 58 3113
E 58 3115
E 3016 204
E 204 3087
E 29 3109
E 3109 92
E 92 3241
E 92 3262
E 29 3140
E 29 3297
E 63 3225
E 3001 76
E 76 3003
E 3003 4
E 4 3094
E 3094 243
E 243 3100
E 3100 33
E 33 3195
E 33 3202
E 3100 69
E 69 3237
E 4 3139
E 4 3169
E 4 3236
E 4 3295
E 3003 34
E 34 3147
E 34 3190
E 34 3242
E 34 3294
E 3003 72
E 72 3214
E 3003 94
E 94 3178
E 3003 230
E 230 3015
E 3015 50
E 50 3097
E 50 3135
E 3015 82
E 82 3022
E 3022 15
E 15 3143
E 15 3174
E 15 3275
E 3022 88
E 88 3096
E 88 3253
E 88 3259
E 3022 415
E 415 3040
E 82 3282
E 3015 141
E 141 3028
E 3028 89
E 89 3119
E 141 3281
E 3015 144
E 144 3043
E 3043 100
E 100 3071
E 3071 52
E 52 3229
E 100 3076
E 3076 38
E 38 3184
E 38 3271
E 3043 103
E 103 3123
E 103 3180
E 3043 145
E 145 3101
E 144 3044
E 3044 62
E 62 3121
E 62 3183
E 3044 86
E 86 3131
E 3003 325
E 325 3008
E 3008 148
E 148 3118
E 3008 157
E 157 3176
E 3008 563
E 563 3036
E 3036 64
E 64 3050
E 3050 123
E 123 3300
E 64 3089
E 64 3252
E 3036 70
E 70 3247
E 70 3250
E 70 3283
E 3008 923
E 923 3009
E 3009 11
E 11 3085
E 11 3224
E 3009 65
E 65 3032
E 3032 149
E 149 3256
E 65 3201
E 65 3268
E 65 3291
E 3009 298
E 298 3090
E 3009 313
E 313 3010
E 3010 17
E 17 3017
E 17 3133
E 17 3286
E 3010 20
E 20 3072
E 20 3117
E 20 3288
E 3010 25
E 25 3120
E 3120 37
E 37 3181
E 37 3274
E 25 3157
E 25 3186
E 25 3238
E 25 3261
E 3010 147
E 147 3029
E 3029 32
E 32 3055
E 32 3160
E 32 3189
E 32 3216
E 32 3258
E 3010 176
E 176 3026
E 3009 528
E 528 3013
E 3013 1
E 1 3034
E 3034 59
E 59 3061
E 3061 31
E 31 3098
E 31 3132
E 31 3270
E 31 3290
E 3034 87
E 87 3198
E 3034 119
E 119 3049
E 119 3166
E 3034 159
E 159 3293
E 1 3070
E 1 3073
E 1 3081
E 1 3082
E 3082 8
E 8 3093
E 3093 43
E 43 3215
E 8 3159
E 8 3173
E 8 3193
E 1 3088
E 1 3149
E 1 3158
E 1 3172
E 1 3187
E 1 3210
E 3013 6
E 6 3019
E 3019 35
E 35 3219
E 35 3243
E 3019 67
E 67 3064
E 67 3153
E 6 3194
E 6 3235
E 6 3269
E 6 3285
E 3001 102
E 102 3092
E 3001 248
E 248 3004
E 3004 24
E 24 3220
E 24 3246
E 3004 26
E 26 3058
E 3058 120
E 120 3065
E 120 3266
E 26 3161
E 26 3182
E 26 3254
E 26 3279
E 3004 156
E 156 3057
E 3057 79
E 79 3218
E 3057 142
E 142 3289
E 3004 356
E 356 3278
E 3004 468
E 468 3014
E 3014 91
E 91 3027
E 91 3199
E 91 3206
E 3014 101
E 101 3020
E 3020 179
E 179 3042
E 3042 117
E 117 3051
E 3051 48
E 48 3148
E 101 3212
E 3004 1011
E 1011 3005
E 3005 18
E 18 3046
E 3046 127
E 127 3234
E 18 3053
E 3053 3
E 3 3080
E 3080 68
E 68 3104
E 68 3142
E 3 3127
E 3 3205
E 3 3226
E 3 3232
E 3 3249
E 3 3287
E 3053 16
E 16 3217
E 3053 27
E 27 3130
E 27 3203
E 27 3265
E 3053 73
E 73 3110
E 3110 131
E 131 3175
E 3053 84
E 84 3221
E 18 3264
E 3005 36
E 36 3179
E 3005 66
E 66 3106
E 3106 47
E 47 3114
E 3114 95
E 95 3125
E 95 3231
E 66 3244
E 3004 1860
E 1860 3006
E 3006 5
E 5 3012
E 5 3033
E 5 3056
E 5 3068
E 5 3083
E 5 3255
E 5 3257
E 3006 10
E 10 3086
E 10 3171
E 10 3177
E 10 3299
E 248 3074
E 3074 22
E 22 3105
E 248 3144
E 3001 1036
E 1036 3002
E 3002 2
E 2 3021
E 3021 9
E 9 3095
E 9 3128
E 3128 42
E 42 3151
E 42 3245
E 42 3251
E 9 3146
E 9 3163
E 9 3197
E 3021 44
E 44 3048
E 3048 14
E 14 3141
E 14 3162
E 14 3170
E 14 3223
E 44 3079
E 3021 115
E 115 3054
E 115 3188
E 3021 178
E 178 3037
E 3037 151
E 151 3060
E 3060 49
E 49 3067
E 49 3228
E 3037 174
E 174 3124
E 2 3039
E 3039 13
E 13 3052
E 3052 28
E 28 3059
E 28 3154
E 28 3164
E 28 3192
E 28 3273
E 28 3277
E 13 3185
E 13 3230
E 13 3239
E 13 3296
E 3039 19
E 19 3041
E 19 3111
E 3039 39
E 39 3062
E 3062 53
E 53 3107
E 3107 106
E 106 3138
E 53 3276
E 39 3156
E 39 3233
E 2 3045
E 3045 41
E 41 3137
E 3137 81
E 81 3208
E 81 3227
E 41 3292
E 2 3047
E 3047 75
E 75 3209
E 2 3084
E 2 3213
E 2 3263
E 2 3267
E 3267 138
E 138 3284
E 3002 301
E 301 3007
