Cost 9292
Edges 92
E 501 3
E 3 538
E 501 30
E 30 546
E 501 76
E 76 506
E 506 5
E 5 543
E 506 19
E 19 517
E 517 8
E 8 519
E 519 14
E 14 541
E 541 91
E 91 549
E 8 528
E 517 12
E 12 539
E 517 17
E 17 547
E 517 100
E 100 540
E 540 103
E 103 532
E 517 115
E 115 525
E 525 47
E 47 530
E 530 181
E 181 536
E 525 245
E 245 531
E 506 156
E 156 507
E 507 20
E 20 545
E 507 23
E 23 526
E 507 89
E 89 513
E 513 146
E 146 510
E 510 302
E 302 511
E 507 182
E 182 512
E 512 97
E 97 550
E 512 123
E 123 516
E 516 2
E 2 548
E 516 102
E 102 518
E 501 116
E 116 504
E 504 271
E 271 509
E 509 364
E 364 505
E 505 13
E 13 520
E 13 524
E 524 122
E 122 535
E 524 149
E 149 523
E 13 537
E 505 18
E 18 502
E 502 239
E 239 533
E 18 522
E 505 67
E 67 514
E 514 11
E 11 521
E 521 36
E 36 529
E 529 85
E 85 534
E 11 544
E 514 41
E 41 515
E 41 542
E 504 395
E 395 503
E 504 445
E 445 508
E 508 16
E 16 527
