Cost 61
Edges 61
E 501 3
E 3 502
E 3 510
E 3 519
E 3 522
E 3 538
E 3 540
E 501 4
E 4 528
E 501 13
E 13 530
E 501 34
E 34 503
E 503 5
E 5 506
E 5 517
E 503 6
E 6 529
E 6 537
E 6 539
E 503 9
E 9 504
E 9 505
E 505 2
E 2 507
E 2 508
E 508 1
E 1 509
E 1 511
E 1 512
E 1 513
E 1 515
E 1 518
E 1 525
E 1 526
E 1 527
E 1 531
E 1 532
E 1 533
E 1 534
E 1 543
E 1 544
E 1 545
E 1 546
E 1 547
E 1 550
E 508 8
E 8 524
E 2 514
E 2 516
E 2 521
E 2 523
E 2 535
E 2 536
E 2 541
E 2 542
E 2 548
E 505 7
E 7 520
E 503 14
E 14 549
