Cost 32532
Edges 257
E 12 76
E 76 332
E 332 348
E 348 352
E 352 384
E 384 320
E 320 304
E 304 272
E 272 16
E 16 32
E 32 31
E 31 29
E 29 157
E 157 141
E 141 205
E 205 197
E 141 397
E 397 461
E 461 463
E 32 28
E 28 27
E 27 11
E 11 9
E 9 265
E 11 267
E 267 331
E 331 347
E 347 91
E 11 43
E 43 59
E 59 57
E 57 58
E 58 26
E 26 154
E 154 156
E 156 140
E 140 204
E 204 236
E 236 240
E 240 176
E 176 175
E 175 167
E 167 135
E 135 136
E 136 152
E 152 151
E 136 392
E 204 460
E 460 492
E 492 490
E 490 494
E 494 366
E 366 362
E 362 330
E 330 329
E 329 321
E 321 337
E 337 81
E 81 82
E 82 90
E 90 89
E 89 217
E 217 221
E 221 222
E 222 224
E 82 338
E 338 340
E 340 84
E 84 83
E 83 67
E 67 323
E 323 355
E 355 99
E 67 195
E 195 131
E 337 465
E 321 257
E 257 258
E 258 260
E 260 4
E 4 36
E 36 164
E 258 386
E 321 325
E 325 327
E 327 359
E 321 353
E 353 354
E 354 356
E 356 100
E 100 98
E 98 114
E 114 113
E 113 117
E 117 85
E 85 93
E 117 125
E 98 102
E 354 358
E 358 326
E 326 334
E 358 357
E 357 365
E 365 367
E 367 383
E 383 381
E 381 373
E 373 369
E 367 363
E 363 299
E 299 291
E 291 419
E 354 322
E 322 324
E 353 361
E 361 377
E 377 345
E 345 346
E 362 364
E 492 491
E 491 459
E 140 396
E 396 400
E 400 432
E 156 148
E 148 20
E 20 24
E 24 88
E 88 216
E 216 248
E 88 344
E 344 342
E 342 341
E 341 343
E 20 52
E 52 50
E 20 18
E 148 212
E 156 412
E 154 410
E 410 414
E 414 286
E 286 288
E 414 413
E 58 62
E 62 30
E 30 22
E 62 190
E 58 186
E 186 170
E 170 426
E 426 298
E 298 290
E 426 418
E 418 417
E 417 421
E 421 429
E 429 445
E 445 441
E 441 409
E 409 473
E 473 457
E 457 489
E 421 422
E 422 166
E 166 168
E 168 40
E 40 48
E 418 482
E 482 498
E 498 500
E 482 481
E 481 225
E 225 227
E 227 231
E 231 239
E 170 234
E 186 185
E 185 177
E 177 145
E 145 209
E 209 193
E 193 194
E 194 196
E 196 200
E 200 232
E 232 230
E 230 486
E 200 72
E 194 210
E 210 466
E 466 470
E 194 202
E 193 65
E 177 161
E 161 129
E 129 1
E 1 5
E 5 133
E 133 165
E 5 261
E 177 179
E 179 187
E 177 178
E 178 434
E 434 442
E 177 241
E 59 123
E 123 124
E 11 139
E 139 137
E 137 169
E 169 41
E 137 153
E 139 203
E 203 219
E 219 155
E 155 411
E 411 415
E 415 287
E 287 279
E 279 263
E 263 295
E 295 423
E 423 439
E 439 183
E 183 55
E 279 311
E 311 312
E 279 407
E 407 405
E 405 437
E 279 275
E 287 285
E 285 269
E 269 270
E 270 262
E 262 6
E 6 134
E 134 142
E 269 301
E 285 349
E 349 350
E 350 382
E 415 447
E 447 431
E 431 427
E 427 443
E 443 435
E 435 307
E 307 315
E 219 220
E 220 476
E 476 508
E 508 512
E 512 511
E 11 15
