Cost 83897
Edges 833
E 1 513
E 513 514
E 514 578
E 578 834
E 834 322
E 322 324
E 324 323
E 323 321
E 321 353
E 353 97
E 353 354
E 353 361
E 361 105
E 105 233
E 233 237
E 237 229
E 229 231
E 231 247
E 237 173
E 173 685
E 685 749
E 749 741
E 741 709
E 709 965
E 965 966
E 741 997
E 749 765
E 765 761
E 761 762
E 762 746
E 746 750
E 750 238
E 173 141
E 141 653
E 141 142
E 142 206
E 206 222
E 206 78
E 233 249
E 249 505
E 505 489
E 489 457
E 489 1001
E 1001 873
E 873 874
E 1001 937
E 937 941
E 937 929
E 489 490
E 505 509
E 509 477
E 477 221
E 221 223
E 509 253
E 509 493
E 505 506
E 506 474
E 506 1018
E 249 251
E 251 255
E 255 191
E 191 187
E 187 443
E 187 188
E 188 252
E 252 764
E 188 192
E 192 184
E 188 60
E 60 58
E 58 57
E 57 41
E 58 62
E 62 318
E 62 126
E 126 254
E 254 190
E 254 766
E 126 128
E 128 96
E 96 608
E 608 736
E 736 720
E 720 208
E 96 95
E 95 351
E 62 46
E 46 174
E 174 686
E 174 430
E 430 494
E 494 510
E 494 1006
E 58 570
E 570 538
E 570 562
E 570 826
E 570 634
E 255 511
E 511 447
E 447 319
E 447 448
E 448 960
E 960 1024
E 255 767
E 233 234
E 234 236
E 236 748
E 748 716
E 105 107
E 107 99
E 99 67
E 67 68
E 68 100
E 100 356
E 356 360
E 68 580
E 580 579
E 579 595
E 595 599
E 599 87
E 87 119
E 119 55
E 55 53
E 53 21
E 21 22
E 22 24
E 22 18
E 22 150
E 22 54
E 54 566
E 566 630
E 630 118
E 118 114
E 114 242
E 242 498
E 118 374
E 630 629
E 629 597
E 597 853
E 853 981
E 853 855
E 855 863
E 863 895
E 863 859
E 859 857
E 857 861
E 861 862
E 862 854
E 854 598
E 598 534
E 534 536
E 536 532
E 536 535
E 597 85
E 85 213
E 213 245
E 245 246
E 246 758
E 758 1014
E 1014 950
E 950 438
E 758 742
E 742 710
E 710 718
E 245 501
E 85 81
E 81 593
E 593 577
E 593 601
E 601 729
E 729 665
E 729 721
E 81 89
E 89 93
E 93 125
E 125 121
E 121 377
E 377 889
E 889 881
E 881 849
E 881 1009
E 125 127
E 127 383
E 383 367
E 367 495
E 495 239
E 597 533
E 533 565
E 597 605
E 605 637
E 637 893
E 893 885
E 605 606
E 606 602
E 602 858
E 629 757
E 757 753
E 753 755
E 630 626
E 626 594
E 594 722
E 722 754
E 626 625
E 626 882
E 566 574
E 574 558
E 558 554
E 554 682
E 682 674
E 674 690
E 690 946
E 690 658
E 54 310
E 310 822
E 822 790
E 790 798
E 790 918
E 918 902
E 902 774
E 774 838
E 838 870
E 870 358
E 358 366
E 870 869
E 869 837
E 822 830
E 830 958
E 958 702
E 702 670
E 702 698
E 698 186
E 186 178
E 178 146
E 146 130
E 130 129
E 129 145
E 130 386
E 386 385
E 385 387
E 387 451
E 386 258
E 186 154
E 154 218
E 218 217
E 218 250
E 698 954
E 954 938
E 822 824
E 824 820
E 22 30
E 53 61
E 61 63
E 63 31
E 31 15
E 15 7
E 7 3
E 3 515
E 515 771
E 771 769
E 771 803
E 803 807
E 807 551
E 771 775
E 515 519
E 519 647
E 647 645
E 645 133
E 133 389
E 389 261
E 645 901
E 645 661
E 519 527
E 7 135
E 135 131
E 135 151
E 151 159
E 159 671
E 671 927
E 927 928
E 159 415
E 415 413
E 413 157
E 413 397
E 397 461
E 461 205
E 461 462
E 413 414
E 414 286
E 286 285
E 285 277
E 277 405
E 277 278
E 414 478
E 478 470
E 470 342
E 342 350
E 470 406
E 406 402
E 470 466
E 466 978
E 470 982
E 982 984
E 984 968
E 968 456
E 478 990
E 415 416
E 416 408
E 15 271
E 271 263
E 263 295
E 295 296
E 296 40
E 40 38
E 38 294
E 294 290
E 290 34
E 34 2
E 2 66
E 2 6
E 6 518
E 518 517
E 517 525
E 525 781
E 781 909
E 909 911
E 781 813
E 813 557
E 813 301
E 525 541
E 541 797
E 797 789
E 789 917
E 917 913
E 917 949
E 917 925
E 789 791
E 791 799
E 797 829
E 518 526
E 526 782
E 782 784
E 6 8
E 8 16
E 16 528
E 528 520
E 520 584
E 584 582
E 16 144
E 144 143
E 144 656
E 16 32
E 32 288
E 288 280
E 280 792
E 8 136
E 34 162
E 162 164
E 164 168
E 168 166
E 166 678
E 678 694
E 168 232
E 232 744
E 744 712
E 744 752
E 168 176
E 176 240
E 240 112
E 240 256
E 162 226
E 226 738
E 738 706
E 706 714
E 714 202
E 738 740
E 290 289
E 289 417
E 417 481
E 481 225
E 225 241
E 481 482
E 482 484
E 417 425
E 425 426
E 426 442
E 442 314
E 314 313
E 289 293
E 293 37
E 290 292
E 296 424
E 424 423
E 423 421
E 423 487
E 487 359
E 359 355
E 359 103
E 487 999
E 999 935
E 999 1000
E 1000 996
E 996 868
E 868 867
E 867 883
E 883 1011
E 1011 1019
E 1019 955
E 955 953
E 955 959
E 867 865
E 996 994
E 996 995
E 996 1012
E 487 455
E 455 453
E 453 197
E 197 69
E 69 581
E 581 589
E 589 77
E 77 13
E 77 333
E 333 349
E 349 345
E 345 337
E 337 339
E 339 467
E 467 979
E 333 365
E 365 357
E 77 109
E 77 79
E 589 717
E 717 713
E 713 969
E 969 905
E 905 921
E 921 985
E 985 989
E 989 1021
E 989 991
E 905 897
E 897 899
E 581 583
E 583 71
E 71 199
E 583 711
E 711 967
E 967 963
E 963 707
E 967 839
E 839 847
E 197 198
E 198 454
E 454 486
E 486 422
E 422 390
E 390 398
E 398 910
E 390 262
E 262 264
E 264 776
E 776 840
E 262 326
E 422 418
E 418 420
E 420 932
E 422 934
E 934 930
E 930 898
E 898 770
E 770 786
E 770 772
E 453 469
E 469 341
E 455 391
E 424 392
E 392 904
E 295 311
E 311 309
E 271 272
E 272 304
E 272 400
E 400 912
E 912 908
E 15 47
E 31 27
E 27 11
E 11 12
E 12 28
E 27 155
E 53 181
E 55 567
E 567 695
E 695 703
E 703 704
E 55 39
E 39 35
E 35 43
E 43 299
E 299 297
E 297 298
E 298 810
E 810 802
E 802 801
E 801 805
E 805 821
E 821 823
E 298 42
E 42 10
E 43 171
E 171 139
E 139 395
E 395 399
E 399 431
E 171 235
E 235 747
E 747 745
E 745 737
E 737 673
E 673 675
E 673 641
E 673 689
E 737 705
E 705 961
E 961 449
E 449 450
E 449 193
E 193 195
E 195 196
E 745 681
E 681 649
E 649 137
E 171 683
E 683 651
E 171 172
E 172 44
E 172 684
E 172 170
E 170 138
E 138 394
E 39 167
E 167 679
E 679 677
E 679 687
E 119 120
E 120 104
E 104 72
E 72 80
E 80 592
E 72 328
E 328 336
E 119 117
E 87 343
E 343 327
E 595 627
E 627 628
E 580 612
E 612 611
E 612 616
E 67 75
E 75 587
E 587 715
E 715 203
E 715 719
E 587 523
E 523 779
E 779 780
E 780 268
E 780 844
E 844 876
E 876 812
E 844 848
E 848 864
E 864 896
E 896 888
E 888 872
E 872 808
E 99 115
E 115 116
E 116 84
E 84 82
E 82 210
E 82 90
E 84 20
E 20 4
E 20 19
E 19 275
E 275 259
E 275 279
E 275 276
E 116 124
E 115 113
E 113 49
E 49 17
E 17 529
E 361 363
E 363 491
E 491 427
E 427 419
E 419 435
E 435 439
E 439 183
E 183 179
E 439 503
E 503 375
E 503 1015
E 503 504
E 435 403
E 403 147
E 147 211
E 211 243
E 243 227
E 211 219
E 219 220
E 220 476
E 476 460
E 460 459
E 459 475
E 459 463
E 463 975
E 975 971
E 971 972
E 972 988
E 975 973
E 460 492
E 492 428
E 492 1004
E 1004 940
E 940 939
E 940 944
E 460 458
E 458 970
E 476 508
E 403 407
E 407 471
E 407 919
E 435 947
E 419 483
E 483 499
E 361 362
E 362 330
E 330 332
E 332 331
E 332 348
E 348 380
E 380 379
E 380 892
E 892 636
E 636 572
E 572 540
E 540 524
E 540 668
E 668 156
E 156 412
E 156 140
E 668 666
E 666 650
E 666 922
E 922 794
E 794 282
E 668 700
E 700 956
E 540 604
E 604 603
E 603 91
E 603 539
E 539 571
E 571 59
E 571 635
E 539 531
E 531 563
E 603 731
E 731 667
E 667 699
E 667 659
E 659 915
E 915 787
E 603 607
E 607 591
E 591 623
E 607 735
E 735 727
E 735 733
E 604 732
E 732 730
E 540 544
E 544 576
E 576 64
E 64 320
E 320 316
E 316 315
E 315 307
