Cost 1535
Edges 1535
E 1 513
E 513 1537
E 1 257
E 257 1281
E 257 769
E 1 129
E 129 1153
E 129 641
E 129 385
E 385 897
E 897 1921
E 1 65
E 65 1089
E 65 577
E 65 321
E 321 833
E 833 1857
E 65 193
E 193 705
E 705 1729
E 193 449
E 449 1473
E 449 961
E 1 33
E 33 1057
E 33 545
E 33 289
E 289 801
E 801 1825
E 33 161
E 161 673
E 673 1697
E 161 417
E 417 1441
E 417 929
E 33 97
E 97 609
E 609 1633
E 97 353
E 353 1377
E 353 865
E 97 225
E 225 1249
E 225 737
E 225 481
E 481 993
E 993 2017
E 1 17
E 17 1041
E 17 529
E 17 273
E 273 785
E 785 1809
E 17 145
E 145 657
E 657 1681
E 145 401
E 401 1425
E 401 913
E 17 81
E 81 593
E 593 1617
E 81 337
E 337 1361
E 337 849
E 81 209
E 209 1233
E 209 721
E 209 465
E 465 977
E 977 2001
E 17 49
E 49 561
E 561 1585
E 49 305
E 305 1329
E 305 817
E 49 177
E 177 1201
E 177 689
E 177 433
E 433 945
E 945 1969
E 49 113
E 113 1137
E 113 625
E 113 369
E 369 881
E 881 1905
E 113 241
E 241 753
E 753 1777
E 241 497
E 497 1521
E 497 1009
E 1 9
E 9 1033
E 9 521
E 9 265
E 265 777
E 777 1801
E 9 137
E 137 649
E 649 1673
E 137 393
E 393 1417
E 393 905
E 9 73
E 73 585
E 585 1609
E 73 329
E 329 1353
E 329 841
E 73 201
E 201 1225
E 201 713
E 201 457
E 457 969
E 969 1993
E 9 41
E 41 553
E 553 1577
E 41 297
E 297 1321
E 297 809
E 41 169
E 169 1193
E 169 681
E 169 425
E 425 937
E 937 1961
E 41 105
E 105 1129
E 105 617
E 105 361
E 361 873
E 873 1897
E 105 233
E 233 745
E 745 1769
E 233 489
E 489 1513
E 489 1001
E 9 25
E 25 537
E 537 1561
E 25 281
E 281 1305
E 281 793
E 25 153
E 153 1177
E 153 665
E 153 409
E 409 921
E 921 1945
E 25 89
E 89 1113
E 89 601
E 89 345
E 345 857
E 857 1881
E 89 217
E 217 729
E 729 1753
E 217 473
E 473 1497
E 473 985
E 25 57
E 57 1081
E 57 569
E 57 313
E 313 825
E 825 1849
E 57 185
E 185 697
E 697 1721
E 185 441
E 441 1465
E 441 953
E 57 121
E 121 633
E 633 1657
E 121 377
E 377 1401
E 377 889
E 121 249
E 249 1273
E 249 761
E 249 505
E 505 1017
E 1017 2041
E 1 5
E 5 1029
E 5 517
E 5 261
E 261 773
E 773 1797
E 5 133
E 133 645
E 645 1669
E 133 389
E 389 1413
E 389 901
E 5 69
E 69 581
E 581 1605
E 69 325
E 325 1349
E 325 837
E 69 197
E 197 1221
E 197 709
E 197 453
E 453 965
E 965 1989
E 5 37
E 37 549
E 549 1573
E 37 293
E 293 1317
E 293 805
E 37 165
E 165 1189
E 165 677
E 165 421
E 421 933
E 933 1957
E 37 101
E 101 1125
E 101 613
E 101 357
E 357 869
E 869 1893
E 101 229
E 229 741
E 741 1765
E 229 485
E 485 1509
E 485 997
E 5 21
E 21 533
E 533 1557
E 21 277
E 277 1301
E 277 789
E 21 149
E 149 1173
E 149 661
E 149 405
E 405 917
E 917 1941
E 21 85
E 85 1109
E 85 597
E 85 341
E 341 853
E 853 1877
E 85 213
E 213 725
E 725 1749
E 213 469
E 469 1493
E 469 981
E 21 53
E 53 1077
E 53 565
E 53 309
E 309 821
E 821 1845
E 53 181
E 181 693
E 693 1717
E 181 437
E 437 1461
E 437 949
E 53 117
E 117 629
E 629 1653
E 117 373
E 373 1397
E 373 885
E 117 245
E 245 1269
E 245 757
E 245 501
E 501 1013
E 1013 2037
E 5 13
E 13 525
E 525 1549
E 13 269
E 269 1293
E 269 781
E 13 141
E 141 1165
E 141 653
E 141 397
E 397 909
E 909 1933
E 13 77
E 77 1101
E 77 589
E 77 333
E 333 845
E 845 1869
E 77 205
E 205 717
E 717 1741
E 205 461
E 461 1485
E 461 973
E 13 45
E 45 1069
E 45 557
E 45 301
E 301 813
E 813 1837
E 45 173
E 173 685
E 685 1709
E 173 429
E 429 1453
E 429 941
E 45 109
E 109 621
E 621 1645
E 109 365
E 365 1389
E 365 877
E 109 237
E 237 1261
E 237 749
E 237 493
E 493 1005
E 1005 2029
E 13 29
E 29 1053
E 29 541
E 29 285
E 285 797
E 797 1821
E 29 157
E 157 669
E 669 1693
E 157 413
E 413 1437
E 413 925
E 29 93
E 93 605
E 605 1629
E 93 349
E 349 1373
E 349 861
E 93 221
E 221 1245
E 221 733
E 221 477
E 477 989
E 989 2013
E 29 61
E 61 573
E 573 1597
E 61 317
E 317 1341
E 317 829
E 61 189
E 189 1213
E 189 701
E 189 445
E 445 957
E 957 1981
E 61 125
E 125 1149
E 125 637
E 125 381
E 381 893
E 893 1917
E 125 253
E 253 765
E 765 1789
E 253 509
E 509 1533
E 509 1021
E 1 3
E 3 1027
E 3 515
E 3 259
E 259 771
E 771 1795
E 3 131
E 131 643
E 643 1667
E 131 387
E 387 1411
E 387 899
E 3 67
E 67 579
E 579 1603
E 67 323
E 323 1347
E 323 835
E 67 195
E 195 1219
E 195 707
E 195 451
E 451 963
E 963 1987
E 3 35
E 35 547
E 547 1571
E 35 291
E 291 1315
E 291 803
E 35 163
E 163 1187
E 163 675
E 163 419
E 419 931
E 931 1955
E 35 99
E 99 1123
E 99 611
